Q45,Q46,Q57,Q184,Q218,Q254,source,tsne_x,tsne_y,tsne_x_3d,tsne_y_3d,tsne_z_3d
1.0,2.0,2.0,1.0,2.0,1.0,Survey,-80.43211,4.216753,-30.997034,2.335245,2.253687
2.0,4.0,2.0,7.0,1.0,2.0,Survey,6.0744224,27.261517,3.269644,1.9314349,-14.499163
2.0,2.0,2.0,1.0,2.0,1.0,Survey,-73.79224,5.6713233,-26.90434,2.3521137,1.4126832
2.0,1.0,2.0,8.0,1.0,1.0,Survey,22.034534,-51.50486,9.4643545,-9.85921,-10.276368
2.0,2.0,2.0,7.0,2.0,1.0,Survey,4.056837,-14.726772,-0.4116268,-6.4804773,2.8189085
1.0,2.0,1.0,10.0,1.0,2.0,Survey,50.777225,22.441547,18.460703,9.721051,7.8811255
1.0,2.0,1.0,6.0,1.0,1.0,Survey,-18.082262,-46.943214,-8.255638,-17.47596,-6.6481357
1.0,1.0,1.0,7.0,1.0,1.0,Survey,-8.791941,-53.36985,-0.46450225,-17.171194,-5.6973104
1.0,1.0,2.0,8.0,2.0,1.0,Survey,23.87732,-28.419273,6.21587,-10.739349,5.1307287
2.0,1.0,1.0,9.0,1.0,1.0,Survey,34.35354,-35.272125,13.054769,-10.438173,-6.161151
2.0,2.0,2.0,8.0,1.0,1.0,Survey,21.042122,-60.11374,7.1886034,-4.566654,-15.745233
2.0,2.0,2.0,9.0,1.0,1.0,Survey,41.511086,-31.163515,13.237014,-5.7171025,-12.12072
1.0,1.0,1.0,9.0,1.0,2.0,Survey,30.340378,22.170374,10.81216,5.9472766,14.932658
1.0,2.0,2.0,10.0,1.0,2.0,Survey,44.505886,22.545374,14.990472,11.586802,10.782464
2.0,2.0,2.0,8.0,1.0,2.0,Survey,7.0824776,37.194504,5.5052476,8.39272,-12.0038
1.0,1.0,1.0,6.0,2.0,1.0,Survey,-18.02495,-35.052288,-8.538695,-14.141267,-0.9930438
1.0,2.0,2.0,10.0,1.0,5.0,Survey,25.017963,48.083076,11.474288,15.94204,-1.5087318
1.0,1.0,2.0,1.0,2.0,2.0,Survey,-75.45372,16.765352,-29.158354,8.7077265,-1.2249479
2.0,2.0,2.0,5.0,1.0,3.0,Survey,-33.255463,26.739012,-11.0932,9.461494,-0.97349495
2.0,1.0,2.0,8.0,2.0,2.0,Survey,13.98382,5.168527,6.8673487,0.5008984,-0.15485513
1.0,2.0,1.0,6.0,1.0,1.0,Survey,-18.082262,-46.943214,-8.255638,-17.47596,-6.6481357
2.0,1.0,2.0,10.0,1.0,2.0,Survey,49.01336,32.122368,20.930151,15.1167555,1.5962487
1.0,2.0,1.0,10.0,2.0,1.0,Survey,46.496666,-8.120043,15.841842,-3.78367,10.336773
2.0,2.0,2.0,8.0,1.0,1.0,Survey,22.102007,-60.443447,7.416754,-5.9131293,-16.610464
2.0,2.0,2.0,5.0,2.0,4.0,Survey,-28.435942,33.14141,-9.076027,8.873185,3.0433853
2.0,2.0,2.0,5.0,3.0,3.0,Survey,-27.21851,8.394352,-9.038032,6.1627765,4.958687
3.0,1.0,1.0,10.0,1.0,2.0,Survey,59.547073,14.41046,10.991521,8.424015,-9.914215
3.0,1.0,1.0,8.0,1.0,2.0,Survey,21.17116,28.527407,6.9425845,3.5295675,-4.5803046
1.0,1.0,1.0,10.0,1.0,1.0,Survey,62.332317,-28.529411,18.15924,-9.9866495,9.39204
2.0,2.0,2.0,5.0,3.0,2.0,Survey,-28.794199,-0.99276024,-11.289901,1.286218,7.574711
1.0,1.0,1.0,1.0,2.0,1.0,Survey,-79.96183,-3.943046,-28.794298,-2.9642057,1.873611
1.0,2.0,2.0,6.0,1.0,1.0,Survey,-12.160915,-27.094025,-9.8459425,-14.900868,-10.782572
2.0,2.0,1.0,1.0,2.0,1.0,Survey,-71.197945,-2.5768082,-25.461233,-0.65524286,1.3682578
1.0,3.0,1.0,2.0,2.0,1.0,Survey,-64.30801,-4.5494003,-22.755793,-4.50698,1.5116138
1.0,2.0,1.0,5.0,1.0,2.0,Survey,-35.596138,14.905276,-11.57821,1.4327435,-7.3424606
3.0,3.0,2.0,8.0,1.0,3.0,Survey,10.527585,28.582912,6.560473,12.878511,-6.1729183
2.0,2.0,2.0,5.0,1.0,3.0,Survey,-33.256268,26.74,-11.093314,9.46156,-0.97225356
